timestamp,liquidity_usd,price_usd
1779886800,51.0891,0.0002673587
1779890400,77.8209,0.0003579971
1779894000,47.5234,0.0003942947
1779897600,68.2015,0.0004853856
1779901200,28.0808,0.0003841092
1779904800,18.5788,0.0004156644
1779908400,6.0861,0.0002776598
1779912000,10.2856,0.0003626392
1779915600,7.2367,0.0004156565
1779919200,4.2443,0.0004275499
1779922800,4.2135,0.0003816226
1779926400,18.6996,0.0005516540
1779930000,14.2690,0.0004678500
1779933600,16.9877,0.0006001974
1779937200,27.8983,0.0005490259
1779940800,18.9289,0.0006224756
1779944400,14.6750,0.0006998260
1779948000,15.7205,0.0006419186
1779951600,16.1714,0.0006288432
1779955200,22.9853,0.0007064129
1779958800,33.9568,0.0006514805
1779962400,20.9227,0.0007339894
1779966000,123.7365,0.0009481542
1779969600,131.3893,0.0009462527
1779973200,144.9727,0.0011840196
1779976800,58.4219,0.0010353394
1779980400,90.6294,0.0010250179
1779984000,121.7126,0.0009975849
1779987600,89.3292,0.0011609428
1779991200,32.8889,0.0009730590
1779994800,34.1738,0.0011147971
1779998400,48.5290,0.0012456495
1780002000,82.0393,0.0014483599
1780005600,171.9480,0.0017719744
1780009200,153.9370,0.0016096995
1780012800,144.4578,0.0016436210
1780016400,97.0260,0.0017085946
1780020000,137.3651,0.0015321535
1780023600,65.2084,0.0015086724
1780027200,49.9365,0.0015077251
1780030800,37.4773,0.0014618121
1780034400,32.9709,0.0015826796
1780038000,56.0208,0.0017107107
1780041600,59.1800,0.0016926179
1780045200,52.1930,0.0015629836
1780048800,266.0655,0.0012056742
1780052400,99.0668,0.0012113457
1780056000,80.2083,0.0012356775
1780059600,64.2995,0.0012690737
1780063200,39.9191,0.0011496714
1780066800,105.3223,0.0014662583
1780070400,64.2298,0.0012768447
1780074000,46.4307,0.0012969892
1780077600,43.0118,0.0014185427
1780081200,46.5514,0.0011549603
1780084800,22.4605,0.0012688360
1780088400,22.0701,0.0011834354
1780092000,45.8791,0.0009802133
1780095600,72.2831,0.0008429848
1780099200,43.2152,0.0007724767
1780102800,32.2378,0.0008700707
1780106400,18.9606,0.0008545994
1780110000,26.3847,0.0008846025
1780113600,24.3120,0.0008433231
1780117200,36.7006,0.0007677798
1780120800,26.9863,0.0009106386
1780124400,104.7757,0.0011321274
1780128000,102.6534,0.0013224410
1780131600,57.9116,0.0012479981
1780135200,45.3016,0.0013345409
1780138800,31.2352,0.0011788997
1780142400,63.2313,0.0011714019
1780146000,34.4176,0.0011755355
1780149600,42.6280,0.0012331842
1780153200,35.8154,0.0013180014
1780156800,59.7425,0.0014401842
1780160400,39.8201,0.0013479229
1780164000,30.4294,0.0012820095
1780167600,20.5971,0.0011878795
1780171200,21.6283,0.0010715249
1780174800,27.8553,0.0012460689
1780178400,55.5083,0.0012708864
1780182000,68.5737,0.0014297637
1780185600,29.0452,0.0013528175
1780189200,10.0112,0.0014275649
1780192800,14.0020,0.0013861758
1780196400,12.6644,0.0012895385
1780200000,12.9227,0.0013090610
1780203600,20.2613,0.0013851395
1780207200,43.9096,0.0014970671
1780210800,21.9933,0.0015985407
1780214400,64.9400,0.0015241124
1780218000,18.2102,0.0015524771
1780221600,61.1541,0.0014437298
1780225200,75.7008,0.0015279313
1780228800,45.3055,0.0017076266
1780232400,59.0277,0.0017292641
1780236000,41.2631,0.0016987177
1780239600,50.9317,0.0015453586
1780243200,34.7741,0.0014223007
1780246800,22.6821,0.0015693211
1780250400,24.4496,0.0013883572
1780254000,19.7187,0.0013571620
1780257600,44.9639,0.0016248303
1780261200,68.4529,0.0015986770
1780264800,25.1777,0.0015485414
1780268400,19.3248,0.0015173709
1780272000,20.1148,0.0014311845
1780275600,15.1314,0.0014683658
1780279200,9.7898,0.0015753348
1780282800,9.5821,0.0015419473
1780286400,22.6791,0.0016643283
1780290000,18.6845,0.0016792384
1780293600,73.5465,0.0017515221
1780297200,138.2491,0.0019872375
1780300800,84.6964,0.0020803024
1780304400,109.6661,0.0021550131
1780308000,104.7872,0.0023088163
1780311600,302.2047,0.0027024952
