timestamp,liquidity_usd,price_usd
1779397200,635.4837,0.0009297778
1779400800,422.3787,0.0014089489
1779404400,204.1386,0.0015482839
1779408000,223.8002,0.0014989200
1779411600,152.7140,0.0017280542
1779415200,118.8557,0.0017379972
1779418800,142.0006,0.0017022708
1779422400,38.2076,0.0016254866
1779426000,36.4047,0.0014412988
1779429600,68.4501,0.0018261754
1779433200,47.6546,0.0017863357
1779436800,36.6558,0.0018486974
1779440400,22.1915,0.0017201196
1779444000,11.9396,0.0016357983
1779447600,34.1707,0.0015319204
1779451200,40.9186,0.0018310591
1779454800,78.8430,0.0017171140
1779458400,129.1731,0.0020795918
1779462000,67.6015,0.0020610009
1779465600,631.4790,0.0027473882
1779469200,272.5157,0.0030680461
1779472800,367.8849,0.0024478515
1779476400,173.6213,0.0025023467
1779480000,168.8775,0.0022095566
1779483600,150.4873,0.0019968258
1779487200,88.3821,0.0017375515
1779490800,111.2767,0.0014876734
1779494400,151.3582,0.0015855671
1779498000,48.9698,0.0016815542
1779501600,30.3385,0.0015030317
1779505200,24.2442,0.0014776462
1779508800,27.4966,0.0012668854
1779512400,35.9329,0.0013101271
1779516000,43.0858,0.0013722704
1779519600,18.9509,0.0013649459
1779523200,13.1801,0.0013392982
1779526800,37.8223,0.0015508602
1779530400,13.0693,0.0013448553
1779534000,32.8956,0.0013024926
1779537600,21.4865,0.0014375679
1779541200,29.9518,0.0015962469
1779544800,78.1658,0.0017086421
1779548400,38.7337,0.0017957800
1779552000,30.9621,0.0015777215
1779555600,44.5605,0.0017759762
1779559200,13.3466,0.0016256196
1779562800,22.8765,0.0015629292
1779566400,55.6322,0.0014278419
1779570000,53.1049,0.0013268028
1779573600,17.9304,0.0013398707
1779577200,26.8107,0.0011918618
1779580800,22.1805,0.0012477168
1779584400,17.8992,0.0013937434
1779588000,17.7867,0.0014426722
1779591600,8.0635,0.0013522314
1779595200,6.1776,0.0013564506
1779598800,2.1500,0.0013343582
1779602400,2.5718,0.0013222004
1779606000,12.9751,0.0013731450
1779609600,8.7274,0.0012721760
1779613200,6.7770,0.0012689283
1779616800,21.2931,0.0011707277
1779620400,18.9782,0.0011684150
1779624000,17.5211,0.0011808886
1779627600,8.6709,0.0011129110
1779631200,5.3223,0.0011012449
1779634800,7.1691,0.0011397624
1779638400,33.9566,0.0008805465
1779642000,9.9015,0.0008648105
1779645600,15.3251,0.0009578797
1779649200,49.8965,0.0011599016
1779652800,4.4857,0.0010900316
1779656400,2.8306,0.0011000727
1779660000,6.1071,0.0009715972
1779663600,6.7928,0.0009696676
1779667200,36.4791,0.0012208900
1779670800,5.8703,0.0011426945
1779674400,1.9226,0.0011194960
1779678000,6.1187,0.0010713492
1779681600,3.1986,0.0010133044
1779685200,1.8920,0.0010521654
1779688800,1.1179,0.0010630151
1779692400,4.7968,0.0010638413
1779696000,6.1867,0.0010277543
1779699600,4.3050,0.0010288484
1779703200,2.0245,0.0010273628
1779706800,16.7947,0.0012310836
1779710400,8.0599,0.0012436492
1779714000,8.1428,0.0012069215
1779717600,9.7772,0.0012511758
