timestamp,liquidity_usd,price_usd
0,51.0891,0.0002673587
3600,77.8209,0.0003579971
7200,47.5234,0.0003942947
10800,68.2015,0.0004853856
14400,28.0808,0.0003841092
18000,18.5788,0.0004156644
21600,6.0861,0.0002776598
25200,10.2856,0.0003626392
28800,7.2367,0.0004156565
32400,4.2443,0.0004275499
36000,4.2135,0.0003816226
39600,18.6996,0.0005516540
43200,14.2690,0.0004678500
46800,16.9877,0.0006001974
50400,27.8983,0.0005490259
54000,18.9289,0.0006224756
57600,14.6750,0.0006998260
61200,15.7205,0.0006419186
64800,16.1714,0.0006288432
68400,22.9853,0.0007064129
72000,33.9568,0.0006514805
75600,20.9227,0.0007339894
79200,123.7365,0.0009481542
82800,131.3893,0.0009462527
86400,144.9727,0.0011840196
90000,58.4219,0.0010353394
93600,90.6294,0.0010250179
97200,121.7126,0.0009975849
100800,89.3292,0.0011609428
104400,32.8889,0.0009730590
108000,34.1738,0.0011147971
111600,48.5290,0.0012456495
115200,82.0393,0.0014483599
118800,171.9480,0.0017719744
122400,153.9370,0.0016096995
126000,144.4578,0.0016436210
129600,97.0260,0.0017085946
133200,137.3651,0.0015321535
136800,65.2084,0.0015086724
140400,49.9365,0.0015077251
144000,37.4773,0.0014618121
147600,32.9709,0.0015826796
151200,56.0208,0.0017107107
154800,59.1800,0.0016926179
158400,52.1930,0.0015629836
162000,266.0655,0.0012056742
165600,99.0668,0.0012113457
169200,80.2083,0.0012356775
172800,64.2995,0.0012690737
176400,39.9191,0.0011496714
180000,105.3223,0.0014662583
183600,64.2298,0.0012768447
187200,46.4307,0.0012969892
190800,43.0118,0.0014185427
194400,46.5514,0.0011549603
198000,22.4605,0.0012688360
201600,22.0701,0.0011834354
205200,45.8791,0.0009802133
208800,72.2831,0.0008429848
212400,43.2152,0.0007724767
216000,32.2378,0.0008700707
219600,18.9606,0.0008545994
223200,26.3847,0.0008846025
226800,24.3120,0.0008433231
230400,36.7006,0.0007677798
234000,26.9863,0.0009106386
237600,104.7757,0.0011321274
241200,102.6534,0.0013224410
244800,57.9116,0.0012479981
248400,45.3016,0.0013345409
252000,31.2352,0.0011788997
255600,63.2313,0.0011714019
259200,34.4176,0.0011755355
262800,42.6280,0.0012331842
266400,35.8154,0.0013180014
270000,59.7425,0.0014401842
273600,39.8201,0.0013479229
277200,30.4294,0.0012820095
280800,20.5971,0.0011878795
284400,21.6283,0.0010715249
288000,27.8553,0.0012460689
291600,55.5083,0.0012708864
295200,68.5737,0.0014297637
298800,29.0452,0.0013528175
302400,10.0112,0.0014275649
306000,14.0020,0.0013861758
309600,12.6644,0.0012895385
313200,12.9227,0.0013090610
316800,20.2613,0.0013851395
320400,43.9096,0.0014970671
324000,21.9933,0.0015985407
327600,64.9400,0.0015241124
331200,18.2102,0.0015524771
334800,61.1541,0.0014437298
338400,75.7008,0.0015279313
342000,45.3055,0.0017076266
345600,59.0277,0.0017292641
349200,41.2631,0.0016987177
352800,50.9317,0.0015453586
356400,34.7741,0.0014223007
360000,22.6821,0.0015693211
363600,24.4496,0.0013883572
367200,19.7187,0.0013571620
370800,44.9639,0.0016248303
374400,68.4529,0.0015986770
378000,25.1777,0.0015485414
381600,19.3248,0.0015173709
385200,20.1148,0.0014311845
388800,15.1314,0.0014683658
392400,9.7898,0.0015753348
396000,9.5821,0.0015419473
399600,22.6791,0.0016643283
403200,18.6845,0.0016792384
406800,73.5465,0.0017515221
410400,138.2491,0.0019872375
414000,84.6964,0.0020803024
417600,109.6661,0.0021550131
421200,104.7872,0.0023088163
424800,302.2047,0.0027024952
428400,293.5635,0.0026824644
432000,165.1440,0.0025992653
435600,222.0950,0.0025890946
439200,95.6272,0.0025850628
442800,323.9144,0.0029726712
446400,152.6269,0.0025246527
450000,68.6633,0.0026869954
453600,109.7822,0.0029015582
457200,112.0454,0.0028364027
460800,137.0887,0.0028691788
464400,108.2666,0.0026902815
468000,106.0830,0.0026068794
471600,64.1458,0.0026722134
475200,95.9847,0.0026585662
478800,152.8788,0.0025038424
482400,62.1463,0.0024574119
486000,41.0730,0.0023292971
489600,160.3491,0.0029610385
493200,481.9835,0.0038523303
496800,346.6521,0.0038637364
500400,380.1415,0.0041605897
504000,207.6557,0.0038153208
507600,576.0477,0.0037610063
511200,502.9259,0.0041867578
514800,286.4795,0.0045439236
518400,264.5302,0.0039809596
522000,250.1249,0.0039335356
525600,188.9719,0.0036598341
529200,298.0764,0.0043597578
532800,525.2389,0.0047852152
536400,227.7294,0.0047978319
540000,193.0328,0.0048959496
543600,110.7862,0.0048945221
547200,329.8274,0.0047218927
550800,247.5789,0.0045873232
554400,154.0922,0.0044730032
558000,51.4685,0.0043246591
561600,85.5514,0.0043059195
565200,99.8450,0.0043409433
568800,193.2117,0.0043463174
572400,334.2424,0.0042154527
576000,83.9585,0.0044884674
579600,156.3351,0.0046605707
583200,132.4082,0.0049355564
586800,578.5367,0.0053369458
590400,703.0252,0.0061927734
594000,2484.8510,0.0075483830
597600,1387.2626,0.0077734693
601200,1158.5849,0.0078784052
604800,684.6858,0.0076922177
608400,1022.4098,0.0067583355
612000,695.2242,0.0067415712
615600,536.1242,0.0065423899
619200,278.3944,0.0066522559
622800,449.3418,0.0074525304
626400,1245.1643,0.0078397323
630000,344.4630,0.0067267557
633600,421.9269,0.0076918651
637200,616.3121,0.0069564004
640800,775.7979,0.0064466566
644400,380.4541,0.0064507110
648000,418.4653,0.0059375980
651600,543.8074,0.0054202172
655200,376.1964,0.0057622979
658800,293.8526,0.0061919003
662400,597.4549,0.0065584174
666000,397.9978,0.0069970914
669600,163.8845,0.0067558772
673200,228.3162,0.0065660775
676800,390.4978,0.0069051196
680400,415.2013,0.0064702458
684000,465.8678,0.0064643487
687600,610.1294,0.0074617549
691200,308.6783,0.0068638750
694800,275.7163,0.0068285166
698400,549.1995,0.0064190760
702000,700.7247,0.0059790493
705600,303.9628,0.0062539884
709200,518.8120,0.0065084982
