timestamp,liquidity_usd,price_usd
1778328000,0.1310,0.0000056270
1778331600,0.0761,0.0000055806
1778335200,1.8737,0.0000055596
1778338800,0.0747,0.0000056462
1778338800,0.0747,0.0000056462
1778342400,0.0100,0.0000056513
1778346000,0.0100,0.0000056646
1778349600,0.0337,0.0000057211
1778353200,0.0278,0.0000057057
1778356800,0.0100,0.0000057026
1778360400,0.0420,0.0000057060
1778364000,0.0100,0.0000057102
1778367600,0.0276,0.0000057560
1778371200,0.1234,0.0000055428
1778374800,0.0363,0.0000055730
1778378400,0.1357,0.0000055834
1778382000,0.0100,0.0000055531
1778385600,0.0374,0.0000054792
1778389200,0.0149,0.0000054964
1778392800,0.0367,0.0000054251
1778396400,0.0128,0.0000054613
1778400000,0.0138,0.0000054681
1778403600,0.0100,0.0000054558
1778407200,0.0641,0.0000053137
1778410800,0.0853,0.0000051388
1778414400,0.0784,0.0000050135
1778418000,0.1508,0.0000050193
1778421600,0.0443,0.0000049615
1778425200,0.0211,0.0000050101
1778428800,0.0100,0.0000050164
1778432400,0.0140,0.0000050468
1778436000,0.0206,0.0000050776
1778439600,0.3991,0.0000054443
1778443200,0.0100,0.0000054774
1778446800,0.0333,0.0000054846
1778450400,0.1052,0.0000053835
1778454000,0.0100,0.0000053841
1778457600,0.0745,0.0000052096
1778461200,0.0360,0.0000051419
1778464800,0.0916,0.0000050357
1778468400,0.0453,0.0000050059
1778472000,0.0525,0.0000050901
1778475600,0.0400,0.0000049849
1778479200,0.0685,0.0000049046
1778482800,0.0387,0.0000049114
1778486400,0.0177,0.0000049029
1778490000,0.0238,0.0000048716
1778493600,0.0315,0.0000048567
1778497200,0.0265,0.0000048002
1778500800,0.0221,0.0000047797
1778504400,0.0369,0.0000047927
1778508000,0.0282,0.0000048328
1778511600,0.0487,0.0000048667
1778515200,0.0293,0.0000049339
1778518800,0.0100,0.0000049219
1778522400,0.0100,0.0000048876
1778526000,0.0189,0.0000048816
1778533200,0.0100,0.0000048475
1778536800,0.0136,0.0000048118
1778540400,0.0100,0.0000048351
1778544000,0.0755,0.0000046489
1778547600,0.1676,0.0000047444
1778551200,0.4028,0.0000048538
1778554800,0.2066,0.0000048581
1778558400,0.0349,0.0000047520
1778562000,0.0561,0.0000046518
1778565600,0.0256,0.0000046215
1778569200,0.0841,0.0000047209
1778572800,0.0167,0.0000046757
1778576400,0.0110,0.0000046884
1778580000,0.0133,0.0000046519
1778583600,0.0132,0.0000046568
1778587200,0.0154,0.0000046362
1778590800,0.1067,0.0000047052
1778594400,0.0280,0.0000046744
1778598000,0.0218,0.0000046898
1778601600,0.0100,0.0000046880
1778605200,0.0100,0.0000047167
1778608800,0.0100,0.0000047156
1778612400,0.0100,0.0000047083
1778619600,0.0100,0.0000046704
1778623200,0.0100,0.0000047211
1778626800,0.0230,0.0000047016
1778630400,0.0304,0.0000046572
1778634000,0.0605,0.0000046022
1778637600,0.0246,0.0000045881
1778641200,0.0317,0.0000045837
1778644800,0.0176,0.0000045388
1778648400,0.0225,0.0000044922
1778652000,0.0220,0.0000045043
1778655600,0.0167,0.0000045056
1778659200,0.0218,0.0000044468
1778662800,0.0448,0.0000045135
